,a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,release,scrapped,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,soft_solder,bond_wire2,article
82,612016,632838,ZXCT1008QF,9Z18AMUCK.2: 15(probed),IC,SMD,LFSOT23,AU,False,False,TC,223651.0,221795.0,49267.0,127.0,172401.0,0.7772988570526838,2020-09-14 00:00:00.000,1243,True,False,Ausbeute,"<font color=""#404040"">Iout</font>",WPS29/2020 gesendet.,christoph-siebert,2020-09-16 12:50:18.780,christoph-siebert,2020-09-16 09:33:57.213,236; 248; 293; 248; 236,AOT40100; AOT40100; AOT40100; AOT40100; AOT40100,104; 104; 104; 104; 104,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,"GOLDDRAHT 0,022MM",A171M1.72.5
83,618102,633875,FZT1053A,9Z24ADAGE.5: 2(probed); 9Z24TICKS.6: 7(unprobed),HT,SMD,SOT223,CU,True,False,TA,78890.0,78310.0,665.0,1749.0,75896.0,0.9691737964500063,2020-09-17 00:00:00.000,1242,False,True,Q-Fehler,IEBO,"1 QF IEBO.

900 TA &amp; 1700 GW (BVEBO,IEBO,BVCBO) wurden bei Nachmessung zu 1700 TA &amp; 665 GW BVEBO,IEBO.

nur 8% gut bei Nachmessung.

FA: QF i.O..

Freigabe.",felix-kannemann,2020-09-16 10:33:21.317,felix-kannemann,2020-09-15 16:01:01.107,,,,npn,FZT1053AD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,043MM",A224G1.322.1
84,618103,633876,FZT1149A,9Y15GENIE.4: 10(unprobed),HT,SMD,SOT223,CU,True,False,TA,89002.0,88553.0,1235.0,591.0,86727.0,0.9793795805901551,2020-09-16 00:00:00.000,1241,False,True,Q-Fehler,BVEBO,"1 QF EB-short.

FA: partikel.",felix-kannemann,2020-09-16 09:54:15.037,felix-kannemann,2020-09-15 10:08:32.260,,,,pnp,FZT1149AD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,043MM",A224G1.322.1
85,618010,633846,ZXTN08400BFF,9Z36TRUSS.5: 19(unprobed); 9Z36TRUSS.6: 2(ringprobed),MT,SMD,SOT23F,CU,True,False,TA,237537.0,235056.0,1839.0,617.0,232600.0,0.9895514260431557,2020-09-15 00:00:00.000,1240,False,True,Q-Fehler,IEBO,"über 50 Q-Jobs mit IEBO 20-130nA, wafer unprobed.

Ausbeute ~99%.

FA: 6 BE geöffnet, davon 1x Chipkleberfahne + Partikel auf Chip (BE 3 mit IEBO 130nA am Anschlag).

5 BE mit IEBO 20-30nA ohne Assemblyauffälligkeiten -< vermutlich bei elektr. Test beschädigt (BoT).",felix-kannemann,2020-09-16 09:53:34.680,felix-kannemann,2020-09-15 10:07:00.450,225; 248; 328; 331,HP40141N; HP40141N; HP40141N; HP40141N,484; 484; 484; 484,npn,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,038 MM Reißlast",A204L1.682.4
86,616223,633492,FZT857,9Z36WHEAT.5: 17(ringprobed),HT,SMD,SOT223,AU,True,False,TA,85852.0,85680.0,1542.0,925.0,83213.0,0.9712068160597572,2020-09-16 00:00:00.000,1239,False,True,Q-Fehler,EB-short,"1 QF BVEBO.

FA: particle.

&nbsp;.",felix-kannemann,2020-09-15 08:16:29.170,felix-kannemann,2020-09-14 13:58:19.293,,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"AU-BETA-DRAHT TYP 0,050 MM",A221P1.22.1
87,618101,633874,BSP75N,9Z42LURKS.7: 9(unprobed); 9Z42LURKS.6: 2(probed),SVMOS,SMD,SOT223,AU,True,False,TA,60203.0,59975.0,311.0,911.0,58753.0,0.9796248436848687,2020-09-15 00:00:00.000,1238,False,True,Q-Fehler,IDSS,"1 QF IDSS.

FA: keine Assemblyfehler.",felix-kannemann,2020-09-14 15:55:39.477,felix-kannemann,2020-09-14 13:57:23.460,,,,,BSP75ND,LEADFRAME DZN 2012 (spot Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT 0,025 MM",A22111.17.1
88,618116,633886,ZVN4424G,9Z41FIGHT.5: 13(ringprobed); 9Z41FIGHT.6: 2(unprobed); 9Z41FIGHT.4: 8(unprobed); 9Z41FIGHT.7: 2(ringprobed),MOSFET-H,SMD,SOT223,CU,True,False,TA,215864.0,215494.0,1595.0,489.0,213410.0,0.9903291971006153,2020-09-15 00:00:00.000,1237,False,True,Q-Fehler,IGSS,"1 QF IGSS.

FA: partikel.",felix-kannemann,2020-09-15 08:17:19.460,felix-kannemann,2020-09-14 13:57:00.663,,,,nMOSe,ZVN4424GD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,025MM Dr",A22461.327.1
89,616229,633498,ZXTN2010G,9Z38SCABS.6: 16(unprobed),HT,SMD,SOT223,PD,True,False,TA,141650.0,141297.0,1569.0,1184.0,138544.0,0.9805162176125466,2020-09-15 00:00:00.000,1236,False,True,Q-Fehler,IEBO,"1QF IEBO.

FA: keine Assemblyfehler.",felix-kannemann,2020-09-15 08:16:49.683,felix-kannemann,2020-09-14 13:56:07.587,,,,,ZX5T851D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"PD PRO DRAHT 0,043 MM Reißlast",A226G1.322.1
90,616227,633496,ZX5T955G,9Z36TYRES.4: 24(unprobed),HT,SMD,SOT223,PD,True,False,TA,212041.0,211378.0,3011.0,2203.0,206164.0,0.9753332891786278,2020-09-16 00:00:00.000,1235,False,True,Q-Fehler,"Rth, BVEBO, IEBO","4 QF:.

2x Rth: kein Chiplot.

1xEB-/CB-Kurzschluß: Partikel.

1x IEBO: Kontamination.",felix-kannemann,2020-09-14 15:58:26.737,felix-kannemann,2020-09-14 13:51:13.140,,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"PD PRO DRAHT 0,043 MM Reißlast",A226G1.322.1
91,614621,633171,ZXTP2014G,9Z36PILOT.4: 25(unprobed),HT,SMD,SOT223,AU,True,False,TA,223236.0,221040.0,2998.0,836.0,217206.0,0.9826547231270358,2020-09-15 00:00:00.000,1234,False,True,Q-Fehler,"BVEBO, IEBO","6 QF aus TP 6+7: 4x BVEBO, 2x IEBO.

TP1-5 freigegeben.

<font color=red>Nachmessung 3k aus TP6: 1xIEBO.

<font color=red>FA Q-Fehler &amp; Ausfall Nachmessung: Kontamination auf Chipoberfläche.",felix-kannemann,2020-09-14 16:00:50.433,felix-kannemann,2020-09-11 10:18:02.783,,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT TYP 0,050 MM",A221G1.22.1
92,604817,632748,ZTL431AFF,9Z33LUXOR.8: 1(probed),IC,SMD,SOT23F,AU,True,False,TA,42015.0,55130.0,11125.0,316.0,43689.0,0.792472338109922,2020-09-09 00:00:00.000,1233,True,False,Ausbeute,Vref,GW 20.18% (Vref); WPS 28/2020.,minsung-kim,2020-09-10 10:28:43.553,minsung-kim,2020-09-10 10:27:56.327,,,,,,TRÄGERBAND TB 301-6 6-row,,"AU-BETA-DRAHT 0,025 MM",A204I1.681.4
93,608420,632509,ZXTN19020CFF,9Z31UNITE.4: 6(ringprobed),MT,SMD,SOT23F,AU,True,False,TA,62425.0,62235.0,2903.0,413.0,58919.0,0.9467180846790392,2020-09-10 00:00:00.000,1232,False,False,Ausbeute,"HFE, VCEsat","GW &nbsp;4.66% (HFE, VCEsat); &nbsp;ringprobed Wafer. Der Hauptfehler beim Wafertest ist VCEsat. Nur einen HFE-Test in Wafertest, während es vier HFE-Tests bei NAT gibt...",minsung-kim,2020-09-10 09:15:49.920,minsung-kim,2020-09-10 09:11:26.263,275,HP40141N,484,,,TRÄGERBAND TB 301-6 6-row,,"AU-BETA-DRAHT TYP 0,050 MM",A201A1.652.4
94,618107,633880,FZT851,9Z39NOVEL.3: 2(probed); 9Z39NOVEL.4: 16(ringprobed); 9Z39NOVEL.5: 4(probed); 9Z39LOCKS.6: 9(unprobed); 9Z39LOCKS.4: 10(ringprobed),HT,SMD,SOT223,CU,True,False,TA,201348.0,200386.0,4244.0,1593.0,194549.0,0.970871218548202,2020-10-02 00:00:00.000,1231,False,True,Prozessfehler,"BVEBO, IEBO","TP5 Weichlotspritzer.

GW UEBO/IEBO: .

TP1 1,6%.

TP2 1,9%.

TP3 1,8%.

TP4 1%.

TP5-7 0,1%.

TP 1-2: 2 QF IEBO/UEBO -< 0,03%, restliche 4 QF bei NM i.O..

alle QF geöffnet, keine Lotspritzer auf Chip.

Freigabe HHa.",felix-kannemann,2020-10-01 12:39:54.760,ingo-hoerselmann,2020-09-10 08:52:04.803,,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224P1.322.1
95,612004,632826,ZXTN19020CFF,9Z31UNITE.3: 4(probed),MT,SMD,SOT23F,AU,True,False,TA,34345.0,34299.0,520.0,77.0,33702.0,0.9825942447301671,2020-09-10 00:00:00.000,1230,False,False,Ausbeute,HFE,"GW &nbsp;(HFE); die Ausbeute in Wafertest durchschnittlich 60% (VCEsat, HFE). &nbsp;Nur einen HFE-Test in Wafertest, während es vier HFE-Tests bei NAT gibt..",minsung-kim,2020-09-10 08:41:04.893,minsung-kim,2020-09-10 08:35:14.310,275,HP40141N,484,,,TRÄGERBAND TB 301-6 6-row,,"AU-BETA-DRAHT TYP 0,050 MM",A201A1.652.4
96,616228,633497,ZXMS6005DG,9Z36REFIT.4: 11(probed),SVMOS,SMD,SOT223,AU,True,False,TA,64960.0,64615.0,36.0,635.0,63944.0,0.9896154143774666,2020-09-08 00:00:00.000,1229,False,True,Q-Fehler,IDSS,"TP1 1 QF IDSS.

FA: weiche Kennlinie ~1µA @10V V_DS, Drift nach oben bei höherer V_DS.

&nbsp;.

BE geöffnet, keine Assemblyfehler.",felix-kannemann,2020-09-09 11:09:39.633,felix-kannemann,2020-09-09 11:08:49.073,,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT 0,030 MM",A22131.17.1
97,614612,633162,ZVN2106G,9Z31MELEE.6: 10(unprobed),MOSFET-M,SMD,SOT223,CU,True,False,TA,133286.0,132663.0,529.0,1353.0,130781.0,0.9858136782674898,2020-09-10 00:00:00.000,1228,False,False,Q-Fehler,BVDSS @ 10mA,"1 QF 2.BVDSS @ 10mA.

DS-Durchbruch bei 100V @100µA (Vergleichs-Gut-BE 110V, Testspec Min 60V).

Curve Tracer: BE schwingt oberhalb 5-6mA DS-Durchbruchstrom, 10mA nicht erreichbar.

&nbsp;.",felix-kannemann,2020-09-09 10:59:26.020,felix-kannemann,2020-09-09 10:55:30.653,,,,nMOSe,ZVN2106D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,025MM Dr",A22461.326.1
98,612001,632825,ZXTN07045EFF,9Z35LOAMS.3: 3(probed); 9Z35LOAMS.5: 10(unprobed),MT,SMD,SOT23F,CU,True,False,TA,159443.0,159260.0,2489.0,410.0,156361.0,0.9817970614090167,2020-09-09 00:00:00.000,1227,False,False,Q-Fehler,HFE,"~60 QF: 2. HFE (Ic 1A) 1100...1180, Testprogramm Max 1000.

keine Obergrenze in Testspec (min 400).

-< Obergrenze in Testprogramm anpassen.",felix-kannemann,2020-09-09 08:53:57.693,felix-kannemann,2020-09-09 08:50:52.773,225; 275; 331,HP40141N; HP40141N; HP40141N,484; 484; 484,,,TRÄGERBAND TB 301-6 6-row,,"PD PRO DRAHT 0,043 MM Reißlast",A204O1.682.4
99,616207,633480,ZXCT1008F,9Z39LICHI.2: 16(probed),IC,SMD,LFSOT23,AU,True,False,TA,245538.0,239330.0,73499.0,4.0,165827.0,0.6928801236786027,2020-09-30 00:00:00.000,1225,False,False,Allg. & ZVR.,Crateringcheck,"TP2 6/24 Cratering meist Vsense+ aber auch andere Bondpads, Spur 2 (1.Drahtbonder) Linie 5.

TP4 6/20 Cratering.

nach TP4 Bondsettings geändert Spur 2: 15 -< 13%US.

Ausbeutecheck 69%: 20% Iout, 13% Grenzwert -< ?.

90k ausgeliefert 30.9..

<font color=red>TP 1+2 Bin14 über SBL -< Kugelhalsbrüche -< Verschrottungsprotokoll Ingo.",felix-kannemann,2020-10-07 17:33:52.093,felix-kannemann,2020-09-08 11:16:53.360,236; 275; 304; 322; 289,AOT40100; AOT40100; AOT40100; AOT40100; AOT40100,104; 104; 104; 104; 104,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,"GOLDDRAHT 0,022MM",A171M1.72.4
100,614601,633151,FZT1051A,9Y43BRATS.6: 8(unprobed),HT,SMD,SOT223,CU,False,False,TA,71501.0,45000.0,,,45000.0,1.0,2020-09-09 00:00:00.000,1224,False,True,Ausbeute,,"während NM GW/TA wurde GW--< TA.

CE-Kurzschlüsse, ungeprobte Wafer.

<font color=red>FA: Bondtoolabdrücke.

3k NM: keine Ausfälle.

<font color=red>TP2 verschrotten (Großteil der CE Kurzschlüsse).",martin-krausse,2020-09-08 15:19:02.220,martin-krausse,2020-09-07 12:16:52.413,,,,npn,FZT1051AD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,043MM",A224G1.322.1
101,616194,633467,FMMT618,9Z24CLOVE.3: 7(unprobed),ST,SMD,SOT23,CU,True,False,TA,135611.0,134123.0,3912.0,1006.0,129205.0,0.9633321652512992,2020-09-07 00:00:00.000,1223,False,False,Ausbeute,HFE,"GW 2.92% (HFE); unprobed Wafer. Zwei HFE-Tests (bei Ic: 2A / Vce: 2 V, Ic: 6A / Vce: 2 V) existierten im Wafertest nicht.

Die anderen erledigten Charge vom selben Wafer: 97.59%, 97.99%. .",minsung-kim,2020-10-08 08:53:44.703,minsung-kim,2020-09-07 11:00:54.977,293; 248; 325,HP40171; HP40171; HP40171,250; 250; 250,npn,FMMT618C,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,038 MM",A164I1.432.4
102,616208,633481,ZXMN2A14F,9Z34LURCH.3: 4(unprobed),UMOS,SMD,LFSOT23,AU,True,False,TA,43912.0,42776.0,743.0,886.0,41147.0,0.9619178978866654,2020-09-07 00:00:00.000,1222,False,False,Ausbeute,,"TA 2.07%; unprobed Wafer. Die andere Charge vom selben Wafer zuvor: 95.1%, TA: 3%. Die durchschnittliche Ausbeute des Produkts (all time): 94.86%.",minsung-kim,2020-09-07 10:38:24.923,minsung-kim,2020-09-07 10:34:10.283,293; 248,HP40171; HP40171,250; 250,,ZXMN2A14D,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,038 MM",A171O1.74.4
103,614518,633144,ZXMN10A07F,9Z29OWING.4: 1(probed); 9Z28PEEKS.4: 1(probed),UMOS,SMD,SOT23,CU,True,False,TA,38185.0,37716.0,1753.0,163.0,35800.0,0.9491992788206597,2020-09-04 00:00:00.000,1221,False,False,Ausbeute,IDSS,"GW 4.65% (IDSS); 16/20 von GW ist gut beim Q-Tester. 4/20: IDSS, VGSth .",minsung-kim,2020-09-04 08:57:50.850,minsung-kim,2020-09-04 08:56:08.463,331,HP40186,1023,nMOSe,ZXMN10A07C,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,038 MM",A164O1.444.4
104,612437,632916,ZVN4525G,9Z26AMMAN.6: 15(unprobed),MOSFET-M,SMD,SOT223,CU,True,False,TA,187109.0,186941.0,2369.0,1352.0,183220.0,0.9800953241931947,2020-09-04 00:00:00.000,1220,False,False,Ausbeute,"IDSS, VGSth ","GW (IDSS, VGSth); das Kanalproblem.",minsung-kim,2020-09-04 08:59:39.163,minsung-kim,2020-09-04 08:20:24.460,,,,,ZVN4525GD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,025MM Dr",A22461.326.1
105,614611,633161,FZT857,9Z34ARENA.6: 7(probed),HT,SMD,SOT223,AU,True,False,TA,36344.0,36116.0,318.0,248.0,35550.0,0.98432827555654,2020-09-15 00:00:00.000,1219,False,True,Allg. & ZVR.,Crateringcheck,"14 Ausfall-BE geöffnet wegen Cratering auf Probestück.

Decap: bei EB-Kurzschlüssen die zu erwartenden Partikel/Kratzer, sonst keine Assemblyauffälligkeiten.

Al abgelöst mit HCl: Bonddrähte noch fest.

Ausbeute unauffällig, zum Gurten freigegeben.

keine QF -< Freigabe.",felix-kannemann,2020-09-14 10:27:30.420,felix-kannemann,2020-09-04 08:18:12.003,,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"AU-BETA-DRAHT TYP 0,050 MM",A221P1.22.1
106,610463,632671,ZR431F01,9Z37PULPS.5: 5(unprobed),IC,SMD,LFSOT23,AU,True,False,TA,101712.0,101547.0,2183.0,1969.0,97395.0,0.9591125291736832,2020-09-03 00:00:00.000,1218,False,False,Ausbeute,,GW 2.15%; beim Q-Tester ist 9/10 gut.,minsung-kim,2020-09-04 08:06:53.130,minsung-kim,2020-09-04 08:05:59.607,236; 236,HP40369; HP40369,441; 441,,ZR43101XF,LEADFRAME DZN 1020,,"GOLDDRAHT 0,022MM",A171N1.72.4
107,612015,632837,ZTLV431AF,9Z31BLURB.7: 3(ringprobed),IC,SMD,LFSOT23,AU,True,False,TA,54257.0,53700.0,1374.0,494.0,51832.0,0.9652141527001862,2020-09-03 00:00:00.000,1217,False,False,Ausbeute,,"GW 2.56%; &nbsp;Lots von den gleichen Wafer: 95.54%, &nbsp;97.85%.",minsung-kim,2020-09-04 07:34:31.450,minsung-kim,2020-09-04 07:31:17.280,331; 331; 331,HP40186; HP40186; HP40186,1023; 1023; 1023,,ZR431L01XF,LEADFRAME DZN 1020,,"GOLDDRAHT 0,022MM",A171N1.72.4
108,612446,632925,ZXMS6005DG,9Z36REFIT.4: 9(probed),SVMOS,SMD,SOT223,AU,True,False,TA,53279.0,53465.0,895.0,700.0,51870.0,0.9701673992331432,2020-09-04 00:00:00.000,1216,False,True,Q-Fehler,IDSS,"TP2 anfangs nur TA &amp; 3 QF bei Nachmessung wieder gut (Tester-Problem).

TP1 1 QF IDSS.

FA: weiche Kennlinie ~1µA @10V V_DS, Drift nach oben bei höherer V_DS.

BE geöffnet, keine Assemblyfehler.",felix-kannemann,2020-09-04 16:07:22.420,felix-kannemann,2020-09-03 08:12:20.617,,,,,,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT 0,030 MM",A22131.17.1
109,612305,632896,FMMT593,9Z27BILBO.7: 8(unprobed),HT,SMD,SOT23,CU,True,False,TC,250625.0,248628.0,5937.0,1397.0,241294.0,0.9705021156104703,2020-09-03 00:00:00.000,1215,False,False,Ausbeute,HFE,"GW 2.39% (HFE); unprobed Wafer. 20 von GW beim Q-Tester gemessen, 18/20 ist gut.",minsung-kim,2020-09-02 10:32:33.497,minsung-kim,2020-09-02 10:24:48.703,304; 304; 325; 292,HP40141N; HP40141N; HP40141N; HP40141N,608; 608; 608; 608,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,025MM Dr",A16451.434.5
110,612429,632912,FZT857Q,9Z34ARENA.5: 11(unprobed),HT,SMD,SOT223,AU,True,False,TA,57746.0,57560.0,837.0,1292.0,55431.0,0.9630125086865879,2020-09-09 00:00:00.000,1214,False,False,Ausbeute,,"TA 2.24%; &nbsp;20 von TA beim Q-Tester gemessen, 16/20 ist leer..",minsung-kim,2020-09-02 10:24:19.500,minsung-kim,2020-09-02 10:23:28.167,,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"AU-BETA-DRAHT TYP 0,050 MM",A221P1.22.1
111,612441,632920,ZXMN6A11G,9Z38CHIRP.1: 10(probed),UMOS,SMD,SOT223,CU,True,False,TA,108480.0,107463.0,739.0,2424.0,104300.0,0.9705666136251547,2020-09-01 00:00:00.000,1213,False,False,Ausbeute,,TA 2.26%; Bei der Nachmessung ist 19/20 von TA leer. .,minsung-kim,2020-09-01 12:43:23.573,minsung-kim,2020-09-01 10:18:00.330,,,,nMOSe,ZXMN6A11D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,038 MM",A224F1.324.1
112,600623,631764,ZTX795A,9Z27UNDUE.10: 3(unprobed),MT,SMD,ELineX,AU,True,False,Schüttgut,35000.0,38352.0,1009.0,354.0,36989.0,0.9644607843137255,2020-09-02 00:00:00.000,1212,False,False,Ausbeute,HFE,GW 2.63% (HFE); unprobed Wafer.HFE ist niedriger als die Untergrenze. Der Hauptfehler ist der gleiche wie bei Wafertest..,minsung-kim,2020-09-01 09:00:37.980,minsung-kim,2020-09-01 08:57:13.937,,,,pnp,,TRÄGERSTREIFEN EP3,,"AU-BETA-DRAHT TYP 0,050 MM",A19G1.603.3
113,600622,631283,ZTX1049A,9Z27MOOSE.3: 8(unprobed),HT,SMD,ELineX,AU,False,False,STZ,71068.0,70899.0,843.0,614.0,69442.0,0.9794496396282035,,1211,False,True,Ausbeute,"IEBO, ICBO","GW 1.19% (IEBO, ICBO) .

FA(FMW): Partikel.

~3k NM nach TC: 16xEB-Schlüsse, 9xReststöme, 4xEB-Schluss wieder gut nach mehrfachen messen: Ursache Partikel.

<font color=red>Posten gesperrt (Wafercharge im Umlauf --< Lot-ID: 614401).",minsung-kim,2020-09-03 16:05:39.543,minsung-kim,2020-09-01 08:09:44.520,,,,npn,FZT1049AD,TRÄGERSTREIFEN EP3,MICROBOND SOFT SOLDER WIRE 0.30MM,"AU-BETA-DRAHT TYP 0,050 MM",A19M1.602.6
114,614614,633164,ZVN4306GV,9Z18FICHE.4: 12(unprobed),MOSFET-H,SMD,SOT223,CU,True,False,TA,64845.0,63585.0,6369.0,1979.0,55237.0,0.8687111740190296,2020-08-28 00:00:00.000,1210,False,False,Ausbeute,"IDSS, VGSth","GW 10.02% (IDSS, VGSth); Das Kanalproblem.",minsung-kim,2020-08-31 10:53:58.163,minsung-kim,2020-08-31 10:53:17.363,,,,nMOSe,ZVN4306GVD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224Q1.327.1
115,614504,633131,FMMT491-79,9Z29GROUP.4: 2(unprobed),HT,SMD,SOT23,AU,False,False,TA,64448.0,63874.0,78.0,132.0,63664.0,0.9967122772959264,2020-09-10 00:00:00.000,1209,False,False,Prozessfehler,,"TP1 Bondoffset, Probestück TP1 in Ordnung, Ende vom TTP1 nicht schön aber auch noch nicht kritisch .

63k ausgeliefert 10.9..",felix-kannemann,2020-10-22 11:56:54.677,ingo-hoerselmann,2020-08-28 10:44:23.663,234,HP40186,1023,npn,,TRÄGERBAND TB 401 LS-N  85 my,,"AU-BETA-DRAHT 0,030 MM",A16171.34.4
116,612436,632915,ZVN4306G,9Z30DRIFT.5: 8(unprobed),MOSFET-H,SMD,SOT223,CU,True,False,TA,43418.0,43194.0,1028.0,513.0,41653.0,0.9643237486687966,2020-08-27 00:00:00.000,1208,False,False,Ausbeute,VGSth,GW 2.38% (VGSth); &nbsp;VGSth ist niedriger als die Untergrenze. Das Kanalproblem.,minsung-kim,2020-08-28 10:41:07.023,minsung-kim,2020-08-28 09:57:37.977,,,,nMOSe,ZVN4306GD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"KUPFERBONDDRAHT 0,043MM",A224Q1.327.1
117,606256,632242,ZXTN2031F,9Z29PURGE.4: 11(unprobed),SS6,SMD,LFSOT23,AU,True,False,TA,112299.0,111387.0,2015.0,687.0,108685.0,0.97574223203785,2020-08-26 00:00:00.000,1207,False,False,Ausbeute,"HFE, BVEBO, VCESAT","GW 1.81% (HFE, BVEBO, VCESAT); unprobed Wafer; Der Hauptfehler entsprechen den Hauptfehler im Wafertest..",minsung-kim,2020-08-28 07:45:33.713,minsung-kim,2020-08-28 07:42:15.860,292; 325; 292; 325; 293,HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250,,X23N49CD,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,050 MM",A171U1.68.4
118,604850,631998,ZXTN25050DFH,9Z14CILIA.3: 1(ringprobed),SS6,SMD,LFSOT23,AU,True,False,TA,22336.0,22270.0,2135.0,63.0,20072.0,0.9013022002694208,2020-08-27 00:00:00.000,1206,False,False,Ausbeute,VCESAT,"GW 9.59% (VCESAT); Die Obergrenze von VCESAT (bei Ic / Ib: 1A / 100 mA) in Wafertest ist 70 mV, während die entsprechende NAT-Grenze 60 mV ist. Außerdem git es nur einen VCESAT test im Wafertest; 586409(der gleiche Wafer) hat 88% Ausbeute. .",minsung-kim,2020-08-27 08:28:49.233,minsung-kim,2020-08-27 07:52:00.670,322,HP40171,250,,X25N50DD,LEADFRAME DZN 1020,,"AU-BETA-DRAHT TYP 0,050 MM",A171S1.68.4
119,604848,631996,ZXTN2020F,9Z23EMBED.3: 4(probed); 9Z23EMBED.4: 1(unprobed),SS6,SMD,LFSOT23,AU,True,False,TA,47915.0,46974.0,1619.0,180.0,45175.0,0.9617022182483927,2020-08-28 00:00:00.000,1205,False,True,Ausbeute,"HFE, VCESAT","GW 3.35%(HFE, VCESAT); VCESAT-Test (bei Ic / Ib: 2A / 100 m, 4A / 400 mA) gibt es in Wafertest nicht und auch eine der Obergrenzen des VCESAT-Tests unterscheidet sich von der Testspezifikation (Obergrenze bei Ic: 1A, Ib: 100 mA ist 47,5 mV auf der Spezifikation aber 55mv im Wafertest.); HFE-Test (bei Ic: 4A, Vce: 2V) gibt es in Wafertest nicht..

FA: Bonddrähte halten (einmal ein E-Draht NSOP).",minsung-kim,2020-08-27 16:01:19.640,minsung-kim,2020-08-27 07:35:38.370,322; 231,HP40171; HP40171,250; 250,,X23N70BD,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,050 MM",A171U1.68.4
120,610470,632678,FZT857Q,9Z33DIODE.4: 5(unprobed),HT,SMD,SOT223,AU,True,False,TA,26195.0,26000.0,331.0,178.0,25491.0,0.980423076923077,2020-08-27 00:00:00.000,1204,False,True,Q-Fehler,VCEsat,"3 QF VCEsat (<font face=Arial size=1 color=black>IC=3.5A, IB=600mA).

FA: i.O..",felix-kannemann,2020-08-26 10:55:55.530,felix-kannemann,2020-08-26 09:00:34.270,,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,"AU-BETA-DRAHT TYP 0,050 MM",A221P1.22.1
